CURSOS,DURAÇÃO
Técnico em Administração,06 a 12 meses
Técnico em Secretaria Escolar,06 a 12 meses
Técnico em Transações Imobiliárias,06 a 12 meses
Técnico em Teologia,06 a 12 meses
Técnico em Informática,06 a 12 meses
Técnico em Eletrotécnica,06 a 12 meses
Técnico em Eletromecânica,06 a 12 meses
Técnico em Mecânica,06 a 12 meses
Técnico em Eletroeletrônica,06 a 12 meses
Técnico em Refrigeração & Climatização,06 a 12 meses
Técnico em Segurança do Trabalho,06 a 12 meses
Técnico em Farmácia,06 a 12 meses
Técnico em Veterinária,06 a 12 meses
Técnico em Agricultura,06 a 12 meses
Técnico em Agropecuária,06 a 12 meses
Técnico em Meio Ambiente,06 a 12 meses
Técnico em Estética,06 a 12 meses
Técnico em Cuidados de Idosos,06 a 12 meses
Técnico em Condomínios,06 a 12 meses
Técnico em Finanças,06 a 12 meses
Técnico em Marketing,06 a 12 meses
Técnico em Agenciamento de Viagens,06 a 12 meses
Técnico em Compliance,06 a 12 meses
Técnico em Inteligência Artificial,06 a 12 meses